Cultures;Lm;Sp;Wc;Lt
LmSp;43.1833333333333;33.9666666666667;0;0
LmWc;43.1833333333333;0;38.8166666666667;0
LmLt;43.1833333333333;0;0;32
SpWc;0;33.9666666666667;38.8166666666667;0
SpLt;0;33.9666666666667;0;32
WcLt;0;0;38.8166666666667;32
LmSpWc;30.2283333333333;24.2619047619048;25.8777777777778;0
LmSpLt;30.2283333333333;24.2619047619048;0;20.5714285714286
LmWcLt;30.2283333333333;0;25.8777777777778;20.5714285714286
SpWcLt;0;24.2619047619048;25.8777777777778;20.5714285714286
LmSpWcLt;21.5916666666667;19.4095238095238;19.4083333333333;16
